OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-ID,USGS Idaho Water Science Center,USGS-13010300,BERRY CREEK NR MORAN WY,Stream,,17040101,,,,,43.9916041,-110.709101,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010350,MOOSE CREEK NR MORAN WY,Stream,,17040101,,,,,43.9832703,-110.7174345,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010400,PILGRIM CREEK 5 MILES ABV MOUTH NR MORAN WY,Stream,,17040101,28.4,sq mi,28.4,sq mi,43.9285533,-110.5624298,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010420,EAST FORK PILGRIM CREEK NR MORAN WY,Stream,,17040101,19,sq mi,19,sq mi,43.9296648,-110.552985,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010440,PILGRIM CREEK 4 MILES ABV MOUTH NR MORAN WY,Stream,,17040101,49.2,sq mi,49.2,sq mi,43.9157749,-110.5727079,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010460,PILGRIM CR 300 FT BL HWY 287 BRIDGE NR MORAN WY,Stream,,17040101,53.6,sq mi,53.6,sq mi,43.8957738,-110.5907639,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13010500,JACKSON LAKE NR MORAN WY,"Lake, Reservoir, Impoundment",,17040101,807,sq mi,,,43.8577778,-110.59,24000,1,seconds,Interpolated from MAP.,NAD83,6776.74,feet,.01,feet,Level or other surveyed method.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011000,SNAKE RIVER NR MORAN WY,Stream,,17040101,807,sq mi,807,sq mi,43.8583333,-110.5858333,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011400,PACIFIC CREEK AB TWO OCEAN CREEK NR MORAN WY,Stream,,17040101,,,,,43.9166114,-110.4590924,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011450,TWO OCEAN CREEK AT OUTLET OF TWO OCEAN LAKE WY,Stream,,17040101,,,,,43.8999439,-110.5007612,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011460,TWO OCEAN CREEK NR MORAN WY,Stream,,17040101,,,,,43.8832768,-110.5007612,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011470,TWO OCEAN CREEK AT MOUTH NR TWO OCEAN CREEK WY,Stream,,17040101,,,,,43.8666097,-110.5007612,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011490,EMMA MATILDA CREEK NR MORAN WY,Stream,,17040101,,,,,43.8666097,-110.5007612,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011500,PACIFIC CREEK AT MORAN WY,Stream,,17040101,169,sq mi,169,sq mi,43.8502778,-110.5177778,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6720.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011600,NORTH BUFFALO FORK NR MORAN WY,Stream,,17040101,,,,,43.9666148,-110.1674111,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011700,BUFFALO FORK ABV BLACKROCK CR NR MORAN WY,Stream,,17040101,,,,,43.8332778,-110.3590872,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13011900,BUFFALO FORK AB LAVA CREEK NR MORAN WY,Stream,,17040101,323,sq mi,323,sq mi,43.8380556,-110.4408333,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6772.78,feet,.01,feet,Level or other surveyed method.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13012700,SPRING CREEK AT WOLFFS RANCH NR ELK WY,Stream,,17040101,,,,,43.7832726,-110.5507624,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13012750,SPRING CREEK NR ELK WY,Stream,,17040101,,,,,43.7582706,-110.6007639,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13013500,SPRING CREEK NR TETON WY,Stream,,17040101,,,,,43.6832666,-110.7007649,,5,seconds,Interpolated from MAP.,NAD83,6460.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13013700,RESERVE CREEK NR MOOSE WY,Stream,,17040101,,,,,43.6332642,-110.7632657,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13013850,DELAND DITCH NR JACKSON WY,Stream: Ditch,,17040101,,,,,43.6165977,-110.7507648,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13013880,OWL DITCH NR JACKSON WY,Stream: Ditch,,17040101,,,,,43.5832635,-110.7674312,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13013900,SPRING CREEK NR JACKSON WY,Stream,,17040101,,,,,43.583263,-110.7840985,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13014000,SPRING CREEK NR ZENITH WY,Stream,,17040101,,,,,43.5665957,-110.8007653,,5,seconds,Interpolated from MAP.,NAD83,6250.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13014440,GROS VENTRE RIVER AT NPS BOUNDARY NR KELLY WY,Stream,,17040102,,,,,43.6402778,-110.5838889,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13014700,GROS VENTRE RIVER NR JACKSON WY,Stream,,17040101,,,,,43.5999322,-110.7007624,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13015000,GROS VENTRE RIVER AT ZENITH WY,Stream,,17040102,683,sq mi,683,sq mi,43.5572222,-110.7627778,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6260.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13015500,SPRING CREEK AT ZENITH WY,Stream,,17040101,,,,,43.5499289,-110.8007649,,5,seconds,Interpolated from MAP.,NAD83,6240.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016000,SPRING CREEK AT W GROS VENTRE BUTTE WY,Stream,,17040102,,,,,43.5466667,-110.7852778,24000,1,seconds,Interpolated from MAP.,NAD83,6240.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016100,SNAKE RIVER NR WILSON WY,Stream,,17040103,2342,sq mi,2342,sq mi,43.4990942,-110.838543,,5,seconds,Interpolated from MAP.,NAD83,6160.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016200,PHELPS LAKE OUTLET NR WILSON WY,Stream,,17040103,,,,,43.6332632,-110.7924333,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016300,GRANITE CANYON OUTLET NR WILSON WY,Stream,,17040103,,,,,43.6165956,-110.8174337,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016400,BRANCH OF FISH CREEK NR WILSON WY,Stream,,17040103,,,,,43.5415939,-110.8591003,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13016500,FISH CREEK NR WILSON WY,Stream,,17040103,87.4,sq mi,87.4,sq mi,43.4649083,-110.8682278,24000,1,minutes,Interpolated from Digital MAP.,NAD83,6107,feet,20,feet,Interpolated from Digital Elevation Model,NAVD88,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13017000,MOSQUITO CREEK NR WILSON WY,Stream,,17040103,24.2,sq mi,,,43.4411111,-110.8644444,24000,1,seconds,Interpolated from MAP.,NAD83,9000.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13017500,BIG SPRING CREEK NR CHENEY WY,Stream,,17040103,,,,,43.4311111,-110.8213889,24000,1,seconds,Interpolated from MAP.,NAD83,6060.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13017700,SOUTH FORK TWIN CREEK NR JACKSON WY,Stream,,17040103,,,,,43.5082649,-110.6785364,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13018600,GAME CREEK NR CHENEY WY,Stream,,17040103,,,,,43.3915957,-110.7340907,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13018700,SQUAW CREEK NR CHENEY WY,Stream,,17040103,,,,,43.3832623,-110.7340905,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13018750,SNAKE RIVER BL FLAT CREEK NR JACKSON WY,Stream,,17040103,2627,sq mi,2627,sq mi,43.3722222,-110.7386111,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019000,HORSE CREEK NR CHENEY WY,Stream,,17040103,37.9,sq mi,,,43.3408333,-110.7191667,24000,1,seconds,Interpolated from MAP.,NAD83,5900.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019280,NORTH FORK FISH CREEK NR BONDURANT WY,Stream,,17040103,14.4,sq mi,14.4,sq mi,43.1499376,-110.3090645,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019430,GRANITE CREEK NR BONDURANT WY,Stream,,17040103,39.9,sq mi,39.9,sq mi,43.2954895,-110.5001871,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019438,"LITTLE GRANITE CREEK AT MOUTH NR BONDURANT, WY",Stream,,17040103,21.14,sq mi,21.1,sq mi,43.2986111,-110.5177778,24000,.1,seconds,Interpolated from MAP.,NAD83,6390.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019440,HOBACK RIVER BL GRANITE CREEK NR BONDURANT WY,Stream,,17040103,,,,,43.2665994,-110.5340767,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019450,HOBACK RIVER AB WILLOW CREEK NR BONDURANT WY,Stream,,17040103,,,,,43.2832646,-110.6007472,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019500,HOBACK RIVER NR JACKSON WY,Stream,,17040103,564,sq mi,564,sq mi,43.2985408,-110.6701957,,5,seconds,Interpolated from MAP.,NAD83,6040.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13019600,HOBACK RIVER NR CHENEY WY,Stream,,17040103,,,,,43.3165952,-110.7257545,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,039,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13020500,DOG CREEK NR CHENEY WY,Stream,,17040103,14.1,sq mi,,,43.2855556,-110.8052778,24000,1,seconds,Interpolated from MAP.,NAD83,5850.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13020700,MARTIN CREEK NR JACKSON WY,Stream,,17040103,,,,,43.2499269,-110.767421,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13021500,BAILEY CREEK NR ALPINE WY,Stream,,17040103,15.9,sq mi,,,43.2083333,-110.7736111,24000,1,seconds,Interpolated from MAP.,NAD83,5790.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13021690,PINE CREEK NR CHENEY WY,Stream,,17040103,,,,,43.1999259,-110.817423,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13021700,WEST TABLE CREEK NR ALPINE WY,Stream,,17040103,1.06,sq mi,1.06,sq mi,43.2082592,-110.820201,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13021750,STATION CREEK NR ALPINE ID,Stream,,17040103,,,,,43.1999256,-110.8340906,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022000,WOLF CREEK NR ALPINE WY,Stream,,17040103,13.1,sq mi,13.1,sq mi,43.1999246,-110.884093,,5,seconds,Interpolated from MAP.,NAD83,5700.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022500,SNAKE RIVER AB RESERVOIR NR ALPINE WY,Stream,,17040103,3465,sq mi,3465,sq mi,43.1961111,-110.8894444,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022800,GREYS RIVER NR BEDFORD WY,Stream,,17040103,,,,,42.9165952,-110.7090795,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022820,TRAIL CREEK NR BEDFORD WY,Stream,,17040103,,,,,42.9249286,-110.7090797,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022830,GREYS RIVER BL TRAIL CREEK NR BEDFORD WY,Stream,,17040103,,,,,42.9332617,-110.7174138,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022840,BLIND BULL CREEK NR BEDFORD WY,Stream,,17040103,,,,,42.9415951,-110.7174139,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022850,GREYS RIVER NEAR BEDFORD WY,Stream,,17040103,,,,,42.9415949,-110.7257478,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022860,DEADMAN CREEK NR BEDFORD WY,Stream,,17040103,,,,,42.9582616,-110.7257482,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022870,GREYS RIVER NR BEDRORD WY,Stream,,17040103,,,,,42.9582614,-110.734082,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022920,"Grey's River abv slide nr Bedford, WY",Stream,,17040103,,,,,43.0248861,-110.8087639,,1,seconds,Interpolated from Digital MAP.,NAD83,6296,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022925,"Grey's River blw slide nr Bedford, WY",Stream,,17040103,,,,,43.0321667,-110.813,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6258,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13022970,GREYS RIVER BLW LAKE CREEK NR ALPINE WY,Stream,,17040103,,,,,43.1188139,-110.8574249,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13023000,GREYS RIVER AB RESERVOIR NR ALPINE WY,Stream,,17040103,448,sq mi,448,sq mi,43.1430556,-110.9769444,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5729.,feet,20.,feet,Interpolated from topographic map.,NGVD29,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13023100,GREYS RIVER NEAR ALPINE WY,Stream,,17040103,,,,,43.1582552,-111.003544,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13023500,SNAKE RIVER BL GREYS RIVER AT ALPINE WY,Stream,,17040103,3940,sq mi,,,43.1721436,-111.0424343,24000,1,seconds,Interpolated from MAP.,NAD83,5543.98,feet,.01,feet,Level or other surveyed method.,NGVD29,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13023700,SALT RIVERV NR FISH CK ABOVE SMOOT,Stream,,17040105,,,,,42.5254858,-110.8835234,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13023900,SALT CREEK NR SMOOT WY,Stream,,17040105,,,,,42.5429855,-110.894358,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,56,023,,,,,,,,,NWIS
USGS-ID,USGS Idaho Water Science Center,USGS-13025900,"STUMP CREEK NR STUMP CREEK RD, ID",Stream,,17040105,102,sq mi,102,sq mi,42.7860379,-111.0646546,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,16,029,,,,,,,,,NWIS
