OrganizationFormalName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,CharacteristicName,MonitoringLocationIdentifier,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultMeasureValue,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,ResultAnalyticalMethod.MethodName,MethodDescriptionText,ProviderName,siteTimes
Bureau of Reclamation,2013-08-20,11:15:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:33:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,19.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,12:33:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.21,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-08-20,11:13:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,8.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-09,11:28:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.5,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:06:00,MDT,temperature,1119USBR_WQX-PAL005,Grab,Water Bottle,19.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,11:45:00,MDT,Calcium,1119USBR_WQX-PAL006,Grab,Water Bottle,32.5,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,11:22:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,8.31,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,12:44:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.68,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,11:38:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,7.53,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,11:45:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,7.2,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-06-25,11:32:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.8,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-25,11:32:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.92,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-08-20,11:07:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.75,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,10:54:00,MDT,Calcium,1119USBR_WQX-PAL007,Grab,Water Bottle,30.3,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2013-07-10_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2013-07-09,11:30:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,8.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:31:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,19.8,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-09,11:34:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-08-20,11:07:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,13.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-09,11:26:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.56,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,11:22:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,8.27,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,11:32:00,MDT,temperature,1119USBR_WQX-PAL006,Grab,Water Bottle,16.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,12:17:00,MDT,pH,1119USBR_WQX-PAL005,Grab,Water Bottle,7.65,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,10:54:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,7.5,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2013-07-10,10:54:00,MDT,temperature,1119USBR_WQX-PAL007,Grab,Water Bottle,17.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2013-07-10,12:08:00,MDT,pH,1119USBR_WQX-PAL005,Grab,Water Bottle,8.21,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,12:17:00,MDT,temperature,1119USBR_WQX-PAL005,Grab,Water Bottle,14.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,12:00:00,MDT,temperature,1119USBR_WQX-PAL005,Grab,Water Bottle,20.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2013-07-10,11:22:00,MDT,temperature,1119USBR_WQX-PAL006,Grab,Water Bottle,20.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-08-20,11:25:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,6.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-08-20,11:25:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.8,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-08-20,11:25:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.1,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-08-20_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:41:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.77,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,12:41:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-06-25,11:16:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.39,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-25,11:16:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,10.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-10,12:42:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,12:42:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.76,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-10,11:35:00,MDT,pH,1119USBR_WQX-PAL006,Grab,Water Bottle,7.56,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-10_break_1119USBR_WQX-PAL006
Bureau of Reclamation,2013-07-10,12:45:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,14.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-10_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-09,11:32:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-26,17:36:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.58,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-26_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2013-07-09,12:40:00,MDT,temperature,1119USBR_WQX-JAC101,Grab,Water Bottle,13.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2013-07-09_break_1119USBR_WQX-JAC101
Bureau of Reclamation,2013-07-09,12:40:00,MDT,pH,1119USBR_WQX-JAC101,Grab,Water Bottle,7.44,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC101
Bureau of Reclamation,2013-07-09,12:40:00,MDT,pH,1119USBR_WQX-JAC101,Grab,Water Bottle,7.2,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC101
Bureau of Reclamation,2013-07-09,11:46:00,MDT,Calcium,1119USBR_WQX-JAC001,Grab,Water Bottle,14.5,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-07-09,11:46:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.9,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-07-09_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2013-06-25,11:25:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.12,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2013-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-07-29,13:49:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.1,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:49:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,6.81,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,09:20:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,7.8,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2014-07-29,14:25:00,MDT,Calcium,1119USBR_WQX-PAL101,Grab,Water Bottle,34.6,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2014-07-29_break_1119USBR_WQX-PAL101
National Park Service Water Resources Division,2014-06-04,18:40:00,MDT,pH,11NPSWRD_WQX-GRTE_SNR01,,,7.66,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-06-04_break_11NPSWRD_WQX-GRTE_SNR01
National Park Service Water Resources Division,2014-06-04,18:40:00,MDT,temperature,11NPSWRD_WQX-GRTE_SNR01,,,8.91,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-06-04_break_11NPSWRD_WQX-GRTE_SNR01
Bureau of Reclamation,2014-06-24,09:55:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-06-24_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-06-24,09:55:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.98,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-06-24_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-06-25,11:20:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,12.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-08-19,11:04:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,19.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-08-19_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-07-31,12:05:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-31_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-06-25,11:20:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.43,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-07-22,11:00:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.05,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-22_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-22,10:56:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,10.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-22_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-22,10:56:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.29,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-22_break_1119USBR_WQX-PAL008
State of Wyoming Department of Environmental Quality Watershed Program,2014-09-04,12:50:00,MDT,pH,WYDEQ_WATERSHED-MRW1,SP-Water,Water Bottle,8.26,None,,150.1,,STORET,2014-09-04_break_WYDEQ_WATERSHED-MRW1
State of Wyoming Department of Environmental Quality Watershed Program,2014-09-04,12:50:00,MDT,temperature,WYDEQ_WATERSHED-MRW1,SP-Water,Water Bottle,5.08,deg C,,170.1,,STORET,2014-09-04_break_WYDEQ_WATERSHED-MRW1
State of Wyoming Department of Environmental Quality Watershed Program,2014-09-04,12:50:00,MDT,Calcium,WYDEQ_WATERSHED-MRW1,SP-Water,Water Bottle,44.0,mg/l,Dissolved,215.1,,STORET,2014-09-04_break_WYDEQ_WATERSHED-MRW1
Bureau of Reclamation,2014-07-29,12:25:00,MDT,pH,1119USBR_WQX-PAL005,Grab,Water Bottle,7.37,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL005
Bureau of Reclamation,2014-05-28,10:17:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,13.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-05-28,10:35:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.77,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:20:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.5,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:20:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-22,10:54:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.35,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-22_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-05-28,10:33:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.75,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-06-25,11:22:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.44,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-07-29,09:22:00,MDT,temperature,1119USBR_WQX-PAL007,Grab,Water Bottle,18.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-29_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2014-07-29,09:22:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,7.71,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2014-08-19,11:10:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.24,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-08-19_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-08-19,11:10:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,13.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-08-19_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-08-19,11:25:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,6.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-08-19_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-08-19,11:25:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.75,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-08-19_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-06-25,11:32:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.93,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-06-25,11:32:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-08-19,11:15:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,10.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-08-19_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2014-06-05,09:55:00,MDT,temperature,11NPSWRD_WQX-GRTE_SNR02,,,7.81,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-06-05_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2014-06-05,09:55:00,MDT,pH,11NPSWRD_WQX-GRTE_SNR02,,,7.92,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-06-05_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2014-06-24,09:57:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,14.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-06-24_break_1119USBR_WQX-PAL008
National Park Service Water Resources Division,2014-10-30,10:10:00,MDT,pH,11NPSWRD_WQX-GRTE_SNR01,,,7.8,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-10-30_break_11NPSWRD_WQX-GRTE_SNR01
National Park Service Water Resources Division,2014-10-30,10:10:00,MDT,temperature,11NPSWRD_WQX-GRTE_SNR01,,,5.65,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2014-10-30_break_11NPSWRD_WQX-GRTE_SNR01
Bureau of Reclamation,2014-05-28,10:25:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,9.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:05:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.91,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:00:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,20.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:00:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.88,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:00:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.2,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-06-25,11:18:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,13.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-06-25,11:18:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.4,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-06-25_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2014-07-29,13:42:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,6.87,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-29,13:42:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,7.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-05-28,10:15:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.35,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-05-28,10:15:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.5,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2014-05-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2014-07-22,10:44:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,14.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2014-07-22_break_1119USBR_WQX-PAL008
